tensor(0.0812, dtype=torch.float16) tensor(0.0084, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.8955, dtype=torch.float16) tensor(9.2983e-06, dtype=torch.float16)
tensor(0.0711, dtype=torch.float16) tensor(0.0091, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1559, dtype=torch.float16) tensor(4.7684e-07, dtype=torch.float16)
tensor(0.0124, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2173, dtype=torch.float16) tensor(0.0004, dtype=torch.float16)
tensor(0.0481, dtype=torch.float16) tensor(0.0078, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3413, dtype=torch.float16) tensor(0.0010, dtype=torch.float16)
tensor(0.0536, dtype=torch.float16) tensor(0.0070, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1151, dtype=torch.float16) tensor(1.4901e-06, dtype=torch.float16)
tensor(0.0061, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2593, dtype=torch.float16) tensor(0.0004, dtype=torch.float16)
tensor(0.0468, dtype=torch.float16) tensor(0.0084, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3755, dtype=torch.float16) tensor(0.0001, dtype=torch.float16)
tensor(0.0430, dtype=torch.float16) tensor(0.0052, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.0753, dtype=torch.float16) tensor(1.0729e-06, dtype=torch.float16)
tensor(0.0079, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2380, dtype=torch.float16) tensor(0.0005, dtype=torch.float16)
tensor(0.0303, dtype=torch.float16) tensor(0.0080, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2878, dtype=torch.float16) tensor(0.0023, dtype=torch.float16)
tensor(0.0250, dtype=torch.float16) tensor(0.0050, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1141, dtype=torch.float16) tensor(3.8326e-05, dtype=torch.float16)
tensor(0.0047, dtype=torch.float16) tensor(7.4387e-05, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1825, dtype=torch.float16) tensor(3.2425e-05, dtype=torch.float16)
tensor(0.0434, dtype=torch.float16) tensor(0.0076, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2344, dtype=torch.float16) tensor(0.0017, dtype=torch.float16)
tensor(0.0518, dtype=torch.float16) tensor(0.0056, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1121, dtype=torch.float16) tensor(8.6010e-05, dtype=torch.float16)
tensor(0.0149, dtype=torch.float16) tensor(0.0002, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2047, dtype=torch.float16) tensor(0.0004, dtype=torch.float16)
tensor(0.0334, dtype=torch.float16) tensor(0.0079, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3125, dtype=torch.float16) tensor(0.0023, dtype=torch.float16)
tensor(0.2101, dtype=torch.float16) tensor(0.0081, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2262, dtype=torch.float16) tensor(6.3777e-06, dtype=torch.float16)
tensor(0.0202, dtype=torch.float16) tensor(0.0002, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1002, dtype=torch.float16) tensor(4.3869e-05, dtype=torch.float16)
tensor(0.0233, dtype=torch.float16) tensor(0.0003, dtype=torch.float16)
tensor(1) tensor(1)
tensor(1.1172, dtype=torch.float16) tensor(0.0029, dtype=torch.float16)
tensor(0.4414, dtype=torch.float16) tensor(0.0869, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.4509, dtype=torch.float16) tensor(0.0009, dtype=torch.float16)
tensor(0.0489, dtype=torch.float16) tensor(0.0078, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1702, dtype=torch.float16) tensor(3.0994e-06, dtype=torch.float16)
tensor(0.0081, dtype=torch.float16) tensor(0.0002, dtype=torch.float16)
tensor(1) tensor(1)
tensor(2.2891, dtype=torch.float16) tensor(0.0031, dtype=torch.float16)
tensor(1.2510, dtype=torch.float16) tensor(0.1803, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1459, dtype=torch.float16) tensor(0.0189, dtype=torch.float16)
tensor(0.0224, dtype=torch.float16) tensor(0.0072, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.0477, dtype=torch.float16) tensor(4.5300e-06, dtype=torch.float16)
tensor(0.0036, dtype=torch.float16) tensor(4.5538e-05, dtype=torch.float16)
tensor(1) tensor(1)
tensor(1.9141, dtype=torch.float16) tensor(0.0007, dtype=torch.float16)
tensor(0.7817, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.5083, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.7266, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.3748, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.4678, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.2717, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.3936, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.3889, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.9878, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.4561, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.2617, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.3411, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.5200, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.3000, dtype=torch.float16) tensor(0.1190, dtype=torch.float16)
tensor(0.2947, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.2751, dtype=torch.float16) tensor(5.9605e-08, dtype=torch.float16)
tensor(0.1920, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.2445, dtype=torch.float16) tensor(0.0998, dtype=torch.float16)
tensor(0.2856, dtype=torch.float16) tensor(5.9605e-07, dtype=torch.float16)
tensor(0.3154, dtype=torch.float16) tensor(0.1159, dtype=torch.float16)
tensor(0.2751, dtype=torch.float16) tensor(1.9073e-06, dtype=torch.float16)
tensor(0.3755, dtype=torch.float16) tensor(2.4617e-05, dtype=torch.float16)
tensor(0.3533, dtype=torch.float16) tensor(6.7949e-06, dtype=torch.float16)
tensor(0.3511, dtype=torch.float16) tensor(0.1077, dtype=torch.float16)
tensor(0.2993, dtype=torch.float16) tensor(5.9605e-08, dtype=torch.float16)
tensor(0.2908, dtype=torch.float16) tensor(0.1448, dtype=torch.float16)
tensor(0.3916, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.3281, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.5664, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.3733, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.2522, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.2188, dtype=torch.float16) tensor(0.0507, dtype=torch.float16)
tensor(0.2998, dtype=torch.float16) tensor(1.1921e-07, dtype=torch.float16)
tensor(0.2866, dtype=torch.float16) tensor(0.0797, dtype=torch.float16)
tensor(0.3037, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.3909, dtype=torch.float16) tensor(1.7285e-06, dtype=torch.float16)
tensor(0.2383, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.2404, dtype=torch.float16) tensor(0.1068, dtype=torch.float16)
